study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,study_title,experiment_alias,fastq_ftp,sample_title,reference,
PRJNA357367,SAMN06142929,SRX2430878,SRR5115506,7460,Apis mellifera,Population-scale sequencing of Apis mellifera monticola and scutellata from Kenya,P1862_137_MS_101,ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/006/SRR5115506/SRR5115506_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/006/SRR5115506/SRR5115506_2.fastq.gz,Mau savannah bee MS 101,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1006792,
PRJNA357367,SAMN06142935,SRX2430879,SRR5115507,7460,Apis mellifera,Population-scale sequencing of Apis mellifera monticola and scutellata from Kenya,P1862_123_MF_79,ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/007/SRR5115507/SRR5115507_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/007/SRR5115507/SRR5115507_2.fastq.gz,Mau mountain bee MF 79,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1006792,
PRJNA357367,SAMN06142942,SRX2430880,SRR5115508,7460,Apis mellifera,Population-scale sequencing of Apis mellifera monticola and scutellata from Kenya,P1862_111_MKS_14,ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/008/SRR5115508/SRR5115508_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/008/SRR5115508/SRR5115508_2.fastq.gz,Mt Kenya savannah bee MKS 14,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1006792,
PRJNA357367,SAMN06142950,SRX2430881,SRR5115509,7460,Apis mellifera,Population-scale sequencing of Apis mellifera monticola and scutellata from Kenya,P1862_119_MKS_70,ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/009/SRR5115509/SRR5115509_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/009/SRR5115509/SRR5115509_2.fastq.gz,Mt Kenya savannah bee MKS 70,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1006792,
PRJNA357367,SAMN06142943,SRX2430882,SRR5115510,7460,Apis mellifera,Population-scale sequencing of Apis mellifera monticola and scutellata from Kenya,P1862_112_MKS_16,ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/000/SRR5115510/SRR5115510_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/000/SRR5115510/SRR5115510_2.fastq.gz,Mt Kenya savannah bee MKS 16,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1006792,
PRJNA357367,SAMN06142955,SRX2430883,SRR5115511,7460,Apis mellifera,Population-scale sequencing of Apis mellifera monticola and scutellata from Kenya,P1862_105_MKF_6,ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/001/SRR5115511/SRR5115511_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/001/SRR5115511/SRR5115511_2.fastq.gz,Mt Kenya mountain bee MKF 6,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1006792,
PRJNA357367,SAMN06142949,SRX2430884,SRR5115512,7460,Apis mellifera,Population-scale sequencing of Apis mellifera monticola and scutellata from Kenya,P1862_118_MKS_68,ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/002/SRR5115512/SRR5115512_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/002/SRR5115512/SRR5115512_2.fastq.gz,Mt Kenya savannah bee MKS 68,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1006792,
PRJNA357367,SAMN06142952,SRX2430885,SRR5115513,7460,Apis mellifera,Population-scale sequencing of Apis mellifera monticola and scutellata from Kenya,P1862_102_MKF_3,ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/003/SRR5115513/SRR5115513_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/003/SRR5115513/SRR5115513_2.fastq.gz,Mt Kenya mountain bee MKF 3,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1006792,
PRJNA357367,SAMN06142960,SRX2430886,SRR5115514,7460,Apis mellifera,Population-scale sequencing of Apis mellifera monticola and scutellata from Kenya,P1862_110_MKF_113,ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/004/SRR5115514/SRR5115514_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/004/SRR5115514/SRR5115514_2.fastq.gz,Mt Kenya mountain bee MKF 113,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1006792,
PRJNA357367,SAMN06142925,SRX2430887,SRR5115515,7460,Apis mellifera,Population-scale sequencing of Apis mellifera monticola and scutellata from Kenya,P1862_133_MS_95,ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/005/SRR5115515/SRR5115515_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/005/SRR5115515/SRR5115515_2.fastq.gz,Mau savannah bee MS 95,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1006792,
PRJNA357367,SAMN06142927,SRX2430888,SRR5115516,7460,Apis mellifera,Population-scale sequencing of Apis mellifera monticola and scutellata from Kenya,P1862_135_MS_99,ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/006/SRR5115516/SRR5115516_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/006/SRR5115516/SRR5115516_2.fastq.gz,Mau savannah bee MS 99,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1006792,
PRJNA357367,SAMN06142934,SRX2430889,SRR5115517,7460,Apis mellifera,Population-scale sequencing of Apis mellifera monticola and scutellata from Kenya,P1862_122_MF_74,ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/007/SRR5115517/SRR5115517_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/007/SRR5115517/SRR5115517_2.fastq.gz,Mau mountain bee MF 74,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1006792,
PRJNA357367,SAMN06142947,SRX2430890,SRR5115518,7460,Apis mellifera,Population-scale sequencing of Apis mellifera monticola and scutellata from Kenya,P1862_116_MKS_66,ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/008/SRR5115518/SRR5115518_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/008/SRR5115518/SRR5115518_2.fastq.gz,Mt Kenya savannah bee MKS 66,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1006792,
PRJNA357367,SAMN06142951,SRX2430891,SRR5115519,7460,Apis mellifera,Population-scale sequencing of Apis mellifera monticola and scutellata from Kenya,P1862_101_MKF_2,ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/009/SRR5115519/SRR5115519_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/009/SRR5115519/SRR5115519_2.fastq.gz,Mt Kenya mountain bee MKF 2,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1006792,
PRJNA357367,SAMN06142922,SRX2430892,SRR5115520,7460,Apis mellifera,Population-scale sequencing of Apis mellifera monticola and scutellata from Kenya,P1862_130_MS_91,ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/000/SRR5115520/SRR5115520_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/000/SRR5115520/SRR5115520_2.fastq.gz,Mau savannah bee MS 91,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1006792,
PRJNA357367,SAMN06142930,SRX2430893,SRR5115521,7460,Apis mellifera,Population-scale sequencing of Apis mellifera monticola and scutellata from Kenya,P1862_138_MS_104,ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/001/SRR5115521/SRR5115521_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/001/SRR5115521/SRR5115521_2.fastq.gz,Mau savannah bee MS 104,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1006792,
PRJNA357367,SAMN06142924,SRX2430894,SRR5115522,7460,Apis mellifera,Population-scale sequencing of Apis mellifera monticola and scutellata from Kenya,P1862_132_MS_94,ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/002/SRR5115522/SRR5115522_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/002/SRR5115522/SRR5115522_2.fastq.gz,Mau savannah bee MS 94,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1006792,
PRJNA357367,SAMN06142953,SRX2430895,SRR5115523,7460,Apis mellifera,Population-scale sequencing of Apis mellifera monticola and scutellata from Kenya,P1862_103_MKF_4,ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/003/SRR5115523/SRR5115523_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/003/SRR5115523/SRR5115523_2.fastq.gz,Mt Kenya mountain bee MKF 4,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1006792,
PRJNA357367,SAMN06142941,SRX2430896,SRR5115524,7460,Apis mellifera,Population-scale sequencing of Apis mellifera monticola and scutellata from Kenya,P1862_129_MF_90,ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/004/SRR5115524/SRR5115524_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/004/SRR5115524/SRR5115524_2.fastq.gz,Mau mountain bee MF 90,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1006792,
PRJNA357367,SAMN06142936,SRX2430897,SRR5115525,7460,Apis mellifera,Population-scale sequencing of Apis mellifera monticola and scutellata from Kenya,P1862_124_MF_81,ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/005/SRR5115525/SRR5115525_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/005/SRR5115525/SRR5115525_2.fastq.gz,Mau mountain bee MF 81,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1006792,
PRJNA357367,SAMN06142926,SRX2430898,SRR5115527,7460,Apis mellifera,Population-scale sequencing of Apis mellifera monticola and scutellata from Kenya,P1862_134_MS_97,ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/007/SRR5115527/SRR5115527_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/007/SRR5115527/SRR5115527_2.fastq.gz,Mau savannah bee MS 97,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1006792,
PRJNA729035,SAMN19109721,SRX11041935,SRR14703777,7460,Apis mellifera,Apis mellifera Raw sequence reads,Anatoli_714,ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/077/SRR14703777/SRR14703777_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/077/SRR14703777/SRR14703777_2.fastq.gz,This sample has been submitted by pda|kdogantzis on 2021-12-04; Apis mellifera,https://www.science.org/doi/10.1126/sciadv.abj2151,
PRJNA729035,SAMN19109720,SRX11041934,SRR14703778,7460,Apis mellifera,Apis mellifera Raw sequence reads,Anatoli_713,ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/078/SRR14703778/SRR14703778_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/078/SRR14703778/SRR14703778_2.fastq.gz,This sample has been submitted by pda|kdogantzis on 2021-12-04; Apis mellifera,https://www.science.org/doi/10.1126/sciadv.abj2151,
PRJNA729035,SAMN19109719,SRX11041933,SRR14703779,7460,Apis mellifera,Apis mellifera Raw sequence reads,Anatoli_501,ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/079/SRR14703779/SRR14703779_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/079/SRR14703779/SRR14703779_2.fastq.gz,This sample has been submitted by pda|kdogantzis on 2021-12-04; Apis mellifera,https://www.science.org/doi/10.1126/sciadv.abj2151,
PRJNA729035,SAMN19109718,SRX11041932,SRR14703780,7460,Apis mellifera,Apis mellifera Raw sequence reads,Anatoli_500,ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/080/SRR14703780/SRR14703780_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/080/SRR14703780/SRR14703780_2.fastq.gz,This sample has been submitted by pda|kdogantzis on 2021-12-04; Apis mellifera,https://www.science.org/doi/10.1126/sciadv.abj2151,
PRJNA729035,SAMN19109724,SRX11041931,SRR14703781,7460,Apis mellifera,Apis mellifera Raw sequence reads,Anatoli_498,ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/081/SRR14703781/SRR14703781_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/081/SRR14703781/SRR14703781_2.fastq.gz,This sample has been submitted by pda|kdogantzis on 2021-12-04; Apis mellifera,https://www.science.org/doi/10.1126/sciadv.abj2151,
PRJNA729035,SAMN19109723,SRX11041930,SRR14703782,7460,Apis mellifera,Apis mellifera Raw sequence reads,Anatoli_496,ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/082/SRR14703782/SRR14703782_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/082/SRR14703782/SRR14703782_2.fastq.gz,This sample has been submitted by pda|kdogantzis on 2021-12-04; Apis mellifera,https://www.science.org/doi/10.1126/sciadv.abj2151,
PRJNA729035,SAMN19109722,SRX11041929,SRR14703783,7460,Apis mellifera,Apis mellifera Raw sequence reads,Anatoli_493,ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/083/SRR14703783/SRR14703783_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/083/SRR14703783/SRR14703783_2.fastq.gz,This sample has been submitted by pda|kdogantzis on 2021-12-04; Apis mellifera,https://www.science.org/doi/10.1126/sciadv.abj2151,
PRJNA729035,SAMN19109677,SRX11041928,SRR14703784,7460,Apis mellifera,Apis mellifera Raw sequence reads,Amont_6,ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/084/SRR14703784/SRR14703784_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/084/SRR14703784/SRR14703784_2.fastq.gz,This sample has been submitted by pda|kdogantzis on 2021-12-04; Apis mellifera,https://www.science.org/doi/10.1126/sciadv.abj2151,
PRJNA729035,SAMN19109594,SRX11041927,SRR14703785,7460,Apis mellifera,Apis mellifera Raw sequence reads,Acap_177A,ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/085/SRR14703785/SRR14703785_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/085/SRR14703785/SRR14703785_2.fastq.gz,This sample has been submitted by pda|kdogantzis on 2021-12-04; Apis mellifera,https://www.science.org/doi/10.1126/sciadv.abj2151,
PRJNA729035,SAMN19109676,SRX11041926,SRR14703786,7460,Apis mellifera,Apis mellifera Raw sequence reads,Amont_5,ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/086/SRR14703786/SRR14703786_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/086/SRR14703786/SRR14703786_2.fastq.gz,This sample has been submitted by pda|kdogantzis on 2021-12-04; Apis mellifera,https://www.science.org/doi/10.1126/sciadv.abj2151,
PRJNA729035,SAMN19109675,SRX11041925,SRR14703787,7460,Apis mellifera,Apis mellifera Raw sequence reads,Amont_4,ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/087/SRR14703787/SRR14703787_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/087/SRR14703787/SRR14703787_2.fastq.gz,This sample has been submitted by pda|kdogantzis on 2021-12-04; Apis mellifera,https://www.science.org/doi/10.1126/sciadv.abj2151,
PRJNA729035,SAMN19109674,SRX11041924,SRR14703788,7460,Apis mellifera,Apis mellifera Raw sequence reads,Amont_3,ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/088/SRR14703788/SRR14703788_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/088/SRR14703788/SRR14703788_2.fastq.gz,This sample has been submitted by pda|kdogantzis on 2021-12-04; Apis mellifera,https://www.science.org/doi/10.1126/sciadv.abj2151,
PRJNA729035,SAMN19109657,SRX11041923,SRR14703789,7460,Apis mellifera,Apis mellifera Raw sequence reads,Amont_2,ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/089/SRR14703789/SRR14703789_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/089/SRR14703789/SRR14703789_2.fastq.gz,This sample has been submitted by pda|kdogantzis on 2021-12-04; Apis mellifera,https://www.science.org/doi/10.1126/sciadv.abj2151,
PRJNA729035,SAMN19109656,SRX11041922,SRR14703790,7460,Apis mellifera,Apis mellifera Raw sequence reads,Amont_1,ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/090/SRR14703790/SRR14703790_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/090/SRR14703790/SRR14703790_2.fastq.gz,This sample has been submitted by pda|kdogantzis on 2021-12-04; Apis mellifera,https://www.science.org/doi/10.1126/sciadv.abj2151,
PRJNA729035,SAMN19109631,SRX11041921,SRR14703791,7460,Apis mellifera,Apis mellifera Raw sequence reads,Amel_720,ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/091/SRR14703791/SRR14703791_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/091/SRR14703791/SRR14703791_2.fastq.gz,This sample has been submitted by pda|kdogantzis on 2021-12-04; Apis mellifera,https://www.science.org/doi/10.1126/sciadv.abj2151,
PRJNA729035,SAMN19109586,SRX11041920,SRR14703792,7460,Apis mellifera,Apis mellifera Raw sequence reads,Amel_716,ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/092/SRR14703792/SRR14703792_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/092/SRR14703792/SRR14703792_2.fastq.gz,This sample has been submitted by pda|kdogantzis on 2021-12-04; Apis mellifera,https://www.science.org/doi/10.1126/sciadv.abj2151,
PRJNA729035,SAMN19109585,SRX11041919,SRR14703793,7460,Apis mellifera,Apis mellifera Raw sequence reads,Amel_715,ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/093/SRR14703793/SRR14703793_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/093/SRR14703793/SRR14703793_2.fastq.gz,This sample has been submitted by pda|kdogantzis on 2021-12-04; Apis mellifera,https://www.science.org/doi/10.1126/sciadv.abj2151,
PRJNA729035,SAMN19109630,SRX11041918,SRR14703794,7460,Apis mellifera,Apis mellifera Raw sequence reads,Amel_477,ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/094/SRR14703794/SRR14703794_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/094/SRR14703794/SRR14703794_2.fastq.gz,This sample has been submitted by pda|kdogantzis on 2021-12-04; Apis mellifera,https://www.science.org/doi/10.1126/sciadv.abj2151,
